Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Жученко,Федір,Олегович,male,1968-11-22,Інженер з якості,село Турка,"парк Сурикова, буд. 5 кв. 273, Здолбунів, 95549",483-23-36,dzhusmarko@example.net
Балабан,Охрім,Олексійович,male,1948-10-08,Офіс-менеджер,селище Олевськ,"сквер Хімічний 1-й, буд. 175 кв. 964, Жовті Води, 88680",091 391-56-63,lesavdieienko@example.org
Чабан,Охрім,Костянтинович,male,1938-02-23,Менеджер з продукту,селище Світлодарськ,"вулиця 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 44, Гірник , 91459",238-39-27,albina17@example.org
Шовкопляс,Аркадій,Давидович,male,1948-08-15,Аудитор,село Кропивницький,"провулок Лазурний 6-й, буд. 985 кв. 7, Гуляйполе, 58101",169-02-31,rmamchur@example.org
Височан,Орися,Павлівна,female,1989-08-12,Асистент керівника,місто Сторожинець,"провулок Польовий 1-й, буд. 4 кв. 23, Дружба , 71704",038 798-80-52,orkhypveres@example.com
Хмара,Пармен,Тарасович,male,1998-11-03,Менеджер з продажу,селище Жовква,"шосе Лідерсівський, буд. 088 кв. 6, Старокостянтинів, 78918",+380 73 857 16 34,uandriievych@example.org
Теличенко,Одарка,Олексіївна,female,1967-02-05,Аудитор,місто Добропілля,"сквер Мазепи Івана, буд. 665, Дубляни, 62830",718-49-69,gtychyna@example.net
Токар,Болеслав,Ігорович,male,2002-08-21,Бухгалтер,село Бобринець,"площа Небесної Сотні, буд. 484 кв. 64, Горішні Плавні, 10728",000 493-47-14,fsomko@example.com
Саченко,Аркадій,Андрійович,male,1995-06-03,Менеджер з маркетингу,місто Старий Самбір,"набережна Травневий 4-й, буд. 100 кв. 727, Калуш, 66958",+380 54 372-66-76,nieremenko@example.org
Заруба,Хома,Ігорович,male,1978-11-21,Тестувальник,селище Вишгород,"сквер Лізи Чайкіної, буд. 6 кв. 3, Кам'янець-Подільський, 66215",+380 12 031 95 21,trokhym09@example.com
Ільченко,Богдан,Максимович,male,1954-09-25,HR-менеджер,село Чернівці,"провулок Південна дорога, буд. 2, Лохвиця, 78228",+380 (99) 405-79-35,iaremchukazar@example.com
Калениченко,Ігнат,Тимофійович,male,1967-02-21,Менеджер з продажу,місто Молодогвардійськ,"провулок Чорноморський 12-й, буд. 99, Берегове, 34568",254 18 59,ekarmaliuk@example.net
Верховинець,Ольга,Геннадіївна,female,2007-09-20,PR-менеджер,село Заставна,"вулиця Складська, буд. 27 кв. 642, Старий Самбір, 42803",+380 (21) 757-22-21,myroslavbezborodky@example.org
Демʼянюк,Христина,Тарасівна,female,1984-04-10,Архітектор,село Миколаївка ,"шосе Акордна, буд. 7 кв. 018, Сорокине, 95269",+380 71 203-64-68,uhaievskyi@example.com
Василенко,Юхим,Мар'янович,male,1991-12-07,Аналітик даних,хутір Кобеляки,"провулок Аптекарський, буд. 847, Свалява, 59186",+380 20 022-34-30,dotsenkosofiia@example.com
Ярема,Зорян,Сергійович,male,2005-03-06,HR-менеджер,хутір Кадіївка,"провулок Колонічна, буд. 7 кв. 4, Снятин, 30956",+380 88 432 72 99,sbarannyk@example.net
Франко,Тарас,Костянтинович,male,1997-09-11,Архітектор,селище Шахтарськ,"сквер Чорноморка, буд. 39, Пологи , 89470",316 46 00,derkachstepan@example.org
Іваничук,Панас,Борисович,male,1949-09-06,Тестувальник,село Першотравенськ,"парк Набережна, буд. 1, Синельникове, 91527",085 424-01-86,valentyna45@example.com
Ярош,Ярослава,Кирилівна,female,1951-12-30,Менеджер з продажу,хутір Балаклія,"сквер Шкодова гора, буд. 291 кв. 1, Калинівка , 18762",631 58 46,gkyrylenko@example.com
Гайда,Володимир,Максимович,male,2005-10-17,Менеджер з закупівель,місто Нікополь,"провулок Мукачівський, буд. 868 кв. 7, Перещепине, 71755",+380 (89) 947-19-67,stanislavshovkoplias@example.net
Девдюк,Борис,Данилович,male,1944-01-25,PR-менеджер,село Миколаївка ,"провулок Плієва, буд. 579, Почаїв, 87687",006 03 45,vira49@example.com
Дейнеко,Маруся,Володимирівна,female,1988-09-12,Системний адміністратор,селище Південне ,"сквер Ремонтна, буд. 03, Петрово-Красносілля, 23891",359-71-50,kovpakorest@example.org
Базавлученко,Єлисей,Федорович,male,1980-04-26,Тестувальник,місто Ялта,"вулиця Олександра Вронського, буд. 77 кв. 44, Скадовськ, 16106",+380 53 033-32-33,vfastenko@example.net
Таран,Віталій,Зеновійович,male,2007-01-01,Менеджер з закупівель,село Дружба ,"площа Залізнична, буд. 392, Белз, 96078",102 36 35,vladyslavfareniuk@example.org
Шаблій,Хома,Данилович,male,1962-06-11,Програміст,хутір Татарбунари,"набережна Лінія 50-та, буд. 45 кв. 1, Снятин, 40014",057 171 88 76,tkachvioletta@example.net
Хорішко,Ярослава,Кирилівна,female,1984-09-06,Менеджер з продукту,хутір Барвінкове,"сквер Михайла Божія, буд. 6 кв. 58, Гайсин, 79331",038 437 91 71,albinababychenko@example.net
Вітер,Юстим,Назарович,male,1962-03-02,PR-менеджер,хутір Сарни,"вулиця Молодіжна, буд. 4, Нетішин, 21738",613-56-40,violettavoblyi@example.net
Червоненко,Тарас,Геннадійович,male,1978-04-06,Бухгалтер,місто Хоростків,"набережна Львівський, буд. 7 кв. 923, Луганськ, 66279",+380 26 830-39-07,isaievychhavrylo@example.net
Талан,Тарас,Євгенович,male,1992-07-03,Фінансовий аналітик,село Бобровиця,"сквер Банний, буд. 187, Погребище, 62128",+380 81 929 65 54,serhii03@example.net
Скирда,Христина,Леонідівна,female,1964-04-02,Програміст,село Сторожинець,"площа Танкістів, буд. 99 кв. 9, Харцизьк, 32664",+380 61 206-69-01,skyrdadan@example.net
Харченко,Оксенія,Марківна,female,1970-06-08,Аналітик даних,місто Козятин,"площа Чубаївська, буд. 84, Олевськ, 05437",935-31-52,onysymdanylenko@example.com
Зінчук,Едуард,Володимирович,male,1951-12-31,Аудитор,хутір Дружба ,"сквер Французький, буд. 298 кв. 65, Ананьїв, 30760",817 27 02,andrii36@example.net
Щорс,Демид,Станіславович,male,1974-04-05,Інженер з якості,селище Іршава,"проспект Крилова, буд. 83, Білозерське, 60031",+380 13 353-86-20,hannaiarema@example.org
Чередник,Андрій,Геннадійович,male,1982-08-08,Асистент керівника,хутір Зборів,"шосе Польова, буд. 817, Приморськ (Україна), 90022",712 30 95,hannanalyvaiko@example.com
Колісниченко,Варвара,Ігорівна,female,1969-09-12,Дизайнер,селище Чорнобиль,"проспект Вознесенський, буд. 8, Ніжин, 50129",655-91-48,tkachiaroslav@example.net
Артюх,Христина,Олегівна,female,1965-07-15,PR-менеджер,хутір Первомайськ,"проспект Кострова, буд. 7 кв. 86, Путивль, 41701",047 973 72 92,aaronkovpak@example.net
Сомко,Омелян,Петрович,male,1991-02-26,Менеджер з продажу,село Коростень,"вулиця Морська, буд. 1 кв. 22, Нове Давидково, 95707",080 258 94 17,vadym86@example.net
Величко,Мартин,Олександрович,male,1946-12-18,Бухгалтер,хутір Південне ,"проспект Латвійський узвіз, буд. 5 кв. 28, Ладижин, 48608",658 07 73,zkhorishko@example.org
Матяш,Трохим,Данилович,male,1988-06-28,HR-менеджер,селище Фастів,"узвіз Кострова, буд. 5, Харцизьк, 75126",024 955 88 42,haidamakabohdan@example.com
Гаврилишин,Віолетта,Петрівна,female,1979-02-03,Аудитор,селище Ямпіль,"вулиця Павлодарська, буд. 20 кв. 04, Шумськ, 94607",636 61 69,panas49@example.net
Каденюк,Герман,Олександрович,male,1963-06-01,Менеджер з продажу,селище Костопіль,"вулиця Кипарисний 1-й, буд. 108 кв. 8, Єнакієве, 38918",+380 26 716-97-21,dandemianchuk@example.com
Гриценко,Тереза,Романівна,female,1987-06-21,Дизайнер,місто Шахтарськ,"шосе Гілельса, буд. 8 кв. 029, Сулимівка (Слов'янськ), 79072",+380 33 769-49-94,baklananita@example.com
Баран,Зиновій,Вікторович,male,1988-03-27,Асистент керівника,селище Павлоград,"узвіз Кісельова Ігоря, буд. 203, Залізне, 85264",+380 (05) 280-23-23,edytaverhun@example.org
Їжак,Пантелеймон,Михайлович,male,1989-09-18,PR-менеджер,селище Єнакієве,"провулок Митракова, буд. 6 кв. 24, Нова Одеса, 72270",+380 25 213-45-82,tymofii93@example.net
Христич,Тарас,Юрійович,male,1994-09-18,Бухгалтер,хутір Богуслав,"сквер Приморська, буд. 4 кв. 41, Буча, 46546",002 807-30-90,sviatoslavsmyk@example.net
Батюк,Ольга,Олексіївна,female,2001-09-09,Асистент керівника,місто Луцьк,"сквер Офіцерська, буд. 0, Мала Виска, 72733",053 762 87 36,xrudko@example.com
Саченко,Семен,Станіславович,male,1940-07-27,Офіс-менеджер,селище Боково-Хрустальне,"вулиця Виноградна 3-тя, буд. 5, Слов'янськ, 62148",052 354-69-72,kolesnychenkoartem@example.com
Романець,Юстина,Станіславівна,female,1983-07-07,Менеджер з продажу,місто Пустомити,"шосе Черепанових, буд. 166 кв. 2, Сулимівка (Слов'янськ), 97737",229 17 07,vasyl76@example.com
Малишко,Юстим,Павлович,male,1963-02-04,Програміст,хутір Кам'янка-Бузька,"сквер Уютна, буд. 671 кв. 0, Берислав, 47347",077 749 40 20,fastenkotrokhym@example.com
Бездітко,Михайлина,Захарівна,female,1966-02-20,Копірайтер,хутір Авдіївка,"набережна Зелений, буд. 4 кв. 3, Євпаторія, 07429",+380 (48) 745-44-30,dashkevychsvitlana@example.com
Їжак,Віолетта,Леонідівна,female,1959-06-04,Менеджер з маркетингу,місто Перещепине,"узвіз Сєрова, буд. 0 кв. 63, Вільнянськ, 30048",023 362-86-51,gvoblyi@example.org
Жарко,Едита,Денисівна,female,1961-06-07,Менеджер з закупівель,хутір Зоринськ,"провулок Моторний 1-й, буд. 517 кв. 770, Яготин, 02701",+380 33 345-29-33,orestcherinko@example.com
Сацюк,Ігнат,Іванович,male,2000-06-24,HR-менеджер,селище Київ,"площа Коблевська, буд. 439, Вишневе , 39467",+380 (53) 705-20-25,chervonenkoleon@example.com
Ґерус,Леопольд,Євгенович,male,1948-12-16,HR-менеджер,селище Чугуїв,"проспект Лиманчик 2-й Лінія 8-ма, буд. 1, Вуглегірськ, 75207",855 00 73,karasmaryna@example.org
Тарасенко,Пріска,Володимирівна,female,1951-07-17,Менеджер з маркетингу,село Дніпрорудне,"провулок Індійська, буд. 16, Самбір, 68953",532 81 37,gzinchenko@example.net
Франко,Віктор,Павлович,male,1971-01-27,Менеджер з продукту,місто Кременець,"набережна Чорноморський 5-й, буд. 2, Ірміно, 84893",399 24 09,zynoviiartiukh@example.org
Романенко,Олена,Леонідівна,female,1945-08-28,Програміст,хутір Мала Виска,"провулок Училищна, буд. 3, Мостиська, 92337",096 799 09 23,odzyndra@example.com
Ящук,Ростислав,Вікторович,male,1985-01-12,Тестувальник,хутір Перевальськ,"сквер Нова, буд. 95, Василівка , 53873",024-13-90,radchenkotrokhym@example.com
Шахрай,Михайлина,Андріївна,female,1953-09-28,Копірайтер,місто Чистякове,"набережна Миколи Вороного, буд. 039, Привілля, 11786",+380 48 546 44 95,oievdokymenko@example.com
Верменич,Леон,Вікторович,male,1994-09-13,Копірайтер,село Борзна,"площа Санаторний, буд. 8 кв. 689, Сіверськ, 25185",949 12 27,skabaliuk@example.org
Самойленко,Мирон,Зеновійович,male,1997-08-15,Кадровий менеджер,село Коростишів,"проспект Шишкіна 2-й, буд. 127 кв. 14, Токмак, 84774",108 23 78,prokhir59@example.net
Короленко,Венедикт,Тимофійович,male,1971-03-30,PR-менеджер,місто Сколе,"набережна Нікітіна, буд. 8 кв. 89, Рахів, 65150",022 527-84-79,vysochanlukian@example.com
Гресь,Валентина,Геннадіївна,female,1957-02-11,Менеджер з продукту,село Бібрка,"площа Шишкіна, буд. 30, Дергачі, 38860",258-17-85,zabilaartem@example.org
Штепа,Одарка,Тимофіївна,female,2006-03-03,Системний адміністратор,місто Стебник,"набережна Лиманчик 2-й Лінія 9-та, буд. 5 кв. 580, Гребінка, 98404",866-84-21,babenkolukian@example.org
Годунок,Дан,Кирилович,male,1940-11-17,Тестувальник,село Роздільна,"проспект Лиманчик 2-й Лінія 9-та, буд. 123 кв. 8, Рава-Руська, 33712",071 253-27-35,hshevchenko@example.net
Тичина,Павло,Геннадійович,male,1949-08-21,HR-менеджер,село Белз,"площа Чернігівський, буд. 8 кв. 06, Теребовля, 75865",+380 05 193 18 96,olehiurchyshyn@example.net
Гупало,Святослава,Захарівна,female,1987-08-08,Менеджер з продажу,село Бахмач,"вулиця 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 4 кв. 7, Любомль, 67449",010 929-90-54,hsahal@example.org
Єрмоленко,Аркадій,Назарович,male,1949-05-03,Менеджер з закупівель,хутір Угнів,"провулок Сибірська, буд. 95 кв. 398, Прип'ять , 62774",+380 22 686 22 97,iaremavioletta@example.com
Базавлученко,Марія,Денисівна,female,2000-01-31,Менеджер з продукту,місто Миронівка,"узвіз Садова 2-га, буд. 49, Монастириська, 63594",+380 07 618 72 64,ahavriushenko@example.org
Нестайко,Віолетта,Денисівна,female,1999-01-22,Аналітик даних,село Старобільськ,"вулиця Миколаївська дорога, буд. 5, Пологи , 53092",+380 01 921 11 63,pavloorobets@example.net
Малишко,Вадим,Григорійович,male,1990-07-27,Програміст,селище Перещепине,"набережна Куяльницький міст, буд. 7, Вінниця, 02695",+380 74 402 85 83,kteslenko@example.net
Гук,Христина,Петрівна,female,1940-11-06,PR-менеджер,хутір Українськ,"площа Ризька, буд. 9 кв. 76, Калуш, 42068",202-48-22,onysym84@example.com
Атаманчук,Симон,Костянтинович,male,1971-07-06,HR-менеджер,хутір Васильків,"проспект Преображенська, буд. 8, Мирноград, 29049",+380 72 540-86-48,veniiamynsemenchenko@example.com
Бевзенко,Одарка,Максимівна,female,1960-06-21,Програміст,селище Вараш,"набережна Торгова, буд. 164 кв. 4, Вінниця, 11535",077 235 20 52,leon02@example.net
Пустовіт,Валентина,Євгенівна,female,1954-05-23,Бухгалтер,селище Зоринськ,"площа Басейна, буд. 12 кв. 1, Молодогвардійськ, 74965",+380 97 333-74-47,hredko@example.org
Вакарчук,Маруся,Михайлівна,female,2002-04-19,Інженер з якості,селище Винники,"проспект Князівський, буд. 0, Старий Крим, 80229",088 689-29-42,zzhalilo@example.net
Чумак,Аліна,Тимофіївна,female,2003-08-30,Бухгалтер,селище Мукачево,"вулиця Плієва, буд. 89, Остер , 62718",657 69 30,olesorlyk@example.net
Величко,Леопольд,Петрович,male,2001-10-07,PR-менеджер,село Шахтарськ,"провулок Книжковий, буд. 1 кв. 493, Географія Вільнянська, 27168",+380 55 030-72-57,shylolukian@example.com
Ільченко,Леонід,Леонідович,male,1950-11-29,Бухгалтер,селище Чигирин,"парк Одеський, буд. 8, Бібрка, 43817",758 32 22,okseniia86@example.net
Влох,Пилип,Іванович,male,1967-06-22,Менеджер з продажу,селище Карлівка,"шосе Західний 3-й, буд. 210, Токмак, 61395",+380 40 836-50-54,vasylyna61@example.org
Супруненко,Едуард,Назарович,male,1988-06-01,Копірайтер,хутір Попасна,"провулок Сегедська, буд. 361 кв. 6, Кам'янець-Подільський, 07499",457-65-34,zharkomykolai@example.net
Голобородько,Мартин,Данилович,male,1983-01-01,Програміст,місто Яготин,"узвіз Сирітський, буд. 8, Бахчисарай, 24453",+380 (08) 334-20-22,ada26@example.org
Онуфрієнко,Ярослав,Володимирович,male,1966-07-08,Дизайнер,хутір Голубівка,"парк Педагогічний, буд. 555, Кам'янець-Подільський, 66914",+380 17 437 72 88,okseniia35@example.org
Алексюк,Дмитро,Олегович,male,2008-01-18,Копірайтер,село Нововолинськ,"шосе Першотравневий 3-й, буд. 472 кв. 493, Кам'янське, 94736",026 470-83-61,hohol-ianovskyiborys@example.net
Андріїшин,Ростислав,Остапович,male,1967-03-04,Офіс-менеджер,селище Золоте,"площа Байдарочний, буд. 76 кв. 32, Пологи , 28397",029 930 97 09,stanislav75@example.org
Павленко,Мирон,Кирилович,male,1950-05-03,Копірайтер,місто Гайсин,"площа Ключовий 2-й, буд. 863 кв. 9, Сквира, 84034",033 691-86-24,sfomenko@example.net
Носенко,Еріка,Сергіївна,female,1973-07-09,Інженер з якості,хутір Долинська,"шосе Вокзальний, буд. 78, Пирятин, 64233",+380 30 470-55-11,oksana14@example.net
Чуприна,Альбіна,Максимівна,female,1956-11-23,Дизайнер,село Монастирище,"площа Республіканська, буд. 1, Фастів, 06108",045 592-02-95,riabchenkobohuslava@example.org
Атаманюк,Едита,Денисівна,female,1987-07-07,Системний адміністратор,місто Жовті Води,"парк Марата 1-й, буд. 39 кв. 45, Тиврів, 54094",027 964 04 17,vasylevychoksana@example.org
Корпанюк,Леопольд,Іванович,male,1971-11-29,Дизайнер,селище Мар'їнка,"сквер Георгія Гамова, буд. 818 кв. 8, Сіверськ, 34074",+380 (13) 329-89-38,semen18@example.net
Джус,Олекса,Григорійович,male,1999-09-18,Інженер з якості,селище Верхньодніпровськ,"узвіз Костанді 3-й, буд. 58, Яворів, 19541",+380 35 634-68-35,mcherednyk@example.com
Бебешко,Дмитро,Олегович,male,1973-03-15,Тестувальник,село Кілія,"набережна Індійська, буд. 52, Вінниця, 09150",+380 16 089 75 83,kamillarudko@example.org
Туркало,Камілла,Назарівна,female,2001-07-02,Аналітик даних,місто Почаїв,"шосе Середньофонтанська, буд. 850, Зугрес, 78315",128-00-92,petrobandura@example.net
Корпанюк,Олександр,Андрійович,male,1980-10-24,Менеджер з продукту,хутір Первомайський ,"набережна 15-та ст. Великого Фонтану пляж, буд. 40, Ананьїв, 85095",072 002 29 69,tymofiisirchenko@example.org
Доценко,Єфрем,Геннадійович,male,1960-12-24,PR-менеджер,село Глухів,"узвіз Залізничний 3-й, буд. 2, Помічна, 73048",+380 71 879-58-55,vasylashkovira@example.com
Негода,Емілія,Тарасівна,female,1939-10-28,Аудитор,місто Рава-Руська,"провулок Зернова, буд. 0, Копичинці, 76387",+380 38 727-62-08,iryna92@example.net
Абраменко,Адам,Данилович,male,1973-08-17,Менеджер з продукту,хутір Могилів-Подільський,"узвіз Миколаївський 1-й, буд. 601 кв. 405, Миколаївка , 75531",070 849 24 11,iatseniukielysaveta@example.com
Сімашкевич,Еріка,Костянтинівна,female,1986-04-21,Менеджер з продажу,хутір Рава-Руська,"набережна Білоруська, буд. 0, Хмільник, 38848",+380 72 515-78-68,frants36@example.org
Даценко,Давид,Іванович,male,1999-03-02,Дизайнер,селище Носівка,"набережна Яблунева, буд. 9, Світлодарськ, 98363",064 945 17 23,skopenkoruslan@example.com
Арсенич,Василь,Борисович,male,1968-02-26,Дизайнер,селище Трускавець,"проспект Тимірязєва 5-й, буд. 1, Заліщики, 68483",+380 03 622-53-74,dvivcharenko@example.net
Баштан,Хома,Мар'янович,male,1998-07-04,Менеджер з закупівель,хутір Новоазовськ,"набережна Степана Разіна, буд. 278 кв. 535, Ходорів, 16622",+380 (00) 949-80-23,nestor40@example.com
Василашко,Левко,Мар'янович,male,1981-08-21,Інженер з якості,хутір Сколе,"провулок Отрада, буд. 562, Перемишляни, 05263",861-79-00,iosyp85@example.com
Фаренюк,Гліб,Денисович,male,1943-01-09,Асистент керівника,село Ковель,"вулиця Восьмого Березня Лінія 5-та, буд. 163 кв. 4, Бердичів, 69515",008 318-16-37,azar08@example.org
Дутка,Юхим,Романович,male,1986-07-23,Тестувальник,місто Богуслав,"провулок Високий, буд. 00 кв. 3, Красноград, 17822",458 81 60,tmatiash@example.net
Вітер,Гордій,Олександрович,male,1995-11-26,Інженер з якості,хутір Генічеськ,"сквер Профспілкова, буд. 757, Винники, 88693",244-62-51,fvlokh@example.org
Артим,Мирон,Романович,male,1987-10-21,Інженер з якості,хутір Долинська,"шосе 14-та Суворовська, буд. 984, Обухів, 57744",+380 44 544-76-09,avhustynvanchenko@example.com
Гаврилець,Панас,Данилович,male,1989-09-29,Тестувальник,селище Вільнянськ,"парк Задніпровського, буд. 97 кв. 501, Брянка, 02133",+380 63 774 90 57,ielysaveta81@example.com
Левченко,Онисим,Тарасович,male,1949-01-07,Тестувальник,хутір Глиняни,"парк Сашка Хорошенка, буд. 400, Баштанка, 40956",156 44 52,valentyn47@example.com
Адамчук,Борислав,Володимирович,male,1999-02-16,Менеджер з продукту,місто Миронівка,"площа Гаріна, буд. 7, Кривий Ріг, 01010",466-31-92,varvara72@example.net
Мазепа,Пантелеймон,Григорійович,male,1994-02-15,Менеджер з закупівель,місто Краматорськ,"площа Дідріхсона, буд. 70, Погребище, 26161",+380 31 529 45 19,derkachklyment@example.org
Оніщук,Розалія,Олегівна,female,1942-02-02,Менеджер з маркетингу,село Білогірськ,"сквер Сухолиманна, буд. 91 кв. 3, Харцизьк, 65522",683 63 71,piatachenkoeduard@example.net
Литвиненко,Ліза,Станіславівна,female,2008-05-27,Фінансовий аналітик,місто Дубляни,"площа Аеропортівська, буд. 7 кв. 3, Білопілля, 40423",043-63-97,kamilla01@example.org
Рудик,Володимира,Захарівна,female,1951-01-15,Аналітик даних,село Узин,"шосе Промислова, буд. 994, Вилкове, 83705",882-14-88,parasiukkostiantyn@example.com
Безбородько,Віолетта,Тимофіївна,female,1960-01-02,Асистент керівника,селище Монастирище,"шосе Купріна, буд. 0, Курахове, 59438",+380 42 150-12-05,aleksiukoleksa@example.org
Чумак,Леонтій,Захарович,male,1959-01-15,Кадровий менеджер,селище Любомль,"площа Володимира Хавкіна, буд. 8, Запоріжжя, 48209",+380 66 318 40 76,lukian34@example.net
Непорожній,Франц,Михайлович,male,1950-02-28,Фінансовий аналітик,хутір Монастириська,"парк Восьмого березня 2-й, буд. 746 кв. 0, Білозерське, 63113",432-55-39,myroslavfesenko@example.org
Гаврилець,Степан,Григорійович,male,1987-12-27,Менеджер з закупівель,селище Комарно,"провулок Дем’янова, буд. 7 кв. 93, Слов'янськ, 06917",+380 87 922-67-30,olha93@example.net
Цимбал,Леопольд,Сергійович,male,2003-06-17,Аналітик даних,село Галич,"вулиця Пересипський узвіз, буд. 14, Часів Яр, 06129",023 175 53 53,pavloavdieienko@example.com
Гупало,Наталія,Тарасівна,female,1985-11-02,Тестувальник,село Герца,"парк Абрикосова, буд. 9, Первомайськ, 19048",390 44 75,viacheslav99@example.com
Конопленко,Ірена,Володимирівна,female,1972-02-12,PR-менеджер,місто Герца,"набережна Новикова, буд. 4, Бровари, 45030",+380 35 991-07-23,drobakhaazar@example.com
Артюх,Гліб,Андрійович,male,1979-01-26,Кадровий менеджер,хутір Шумськ,"провулок Виноградна 1-ша, буд. 721, Світловодськ, 23123",815 91 63,wromanchuk@example.com
Євтушенко,Анастасія,Давидівна,female,1985-10-18,Дизайнер,селище Фастів,"проспект Мирна, буд. 194, Ватутіне, 15762",004 341-23-81,avasylenko@example.com
Швачко,Дан,Данилович,male,1941-09-29,Копірайтер,хутір Борислав,"площа Тимірязєва, буд. 4 кв. 56, Каховка, 65881",+380 30 453-05-04,bohdan77@example.org
Андрейко,Гаврило,Назарович,male,1950-02-23,Офіс-менеджер,місто Бунге ,"парк Дунайська, буд. 281 кв. 0, Калуш, 21279",610 20 82,rudkoarsen@example.com
Жайворон,Василина,Данилівна,female,2007-08-12,Кадровий менеджер,селище Інкерман,"проспект Амбулаторний, буд. 66 кв. 56, Лохвиця, 55064",714-38-00,vdemianchuk@example.net
Алексеєнко,Олег,Назарович,male,1986-05-03,Копірайтер,селище Ромни,"набережна Лазурний 6-й, буд. 704 кв. 71, Боково-Хрустальне, 82085",+380 30 002 55 16,feofan90@example.org
Адаменко,Альбіна,Михайлівна,female,1983-05-06,Бухгалтер,селище Ялта,"вулиця Ракетна, буд. 1, Кипуче, 99796",+380 54 496 70 22,priskalubenets@example.com
Міщенко,Клавдія,Тимофіївна,female,1995-06-18,PR-менеджер,хутір Буськ,"набережна Докова, буд. 1, Корець, 60887",+380 66 070-25-89,bnalyvaiko@example.org
Заруба,Ірена,Михайлівна,female,1942-06-10,Асистент керівника,село Глобине,"парк Севастопольський, буд. 24, Мерефа, 98710",036 915 37 90,klemeshko@example.com
Дараган,Олена,Андріївна,female,1991-10-01,Архітектор,місто Немирів,"вулиця Сергія Уточкіна, буд. 1 кв. 98, Олександрівськ, 98065",+380 99 284-33-63,iaroslav22@example.net
Байда,Климент,Олегович,male,1977-09-25,Менеджер з продукту,хутір Сєвєродонецьк,"шосе Обсерваторний, буд. 5 кв. 8, Остер , 31955",015 744 00 84,bkozachenko@example.org
Забара,Ігнат,Олегович,male,1969-09-29,Дизайнер,селище Ровеньки,"провулок Соляний 2-й, буд. 76, Чоп, 32830",085 421-73-74,bohdan26@example.com
Данькевич,Тереза,Петрівна,female,1973-03-06,Менеджер з маркетингу,село Іловайськ,"набережна Слєпньова, буд. 2 кв. 0, Петрово-Красносілля, 88558",033 08 77,xudovenko@example.com
Зінченко,Ліза,Назарівна,female,1991-11-10,Кадровий менеджер,село Середина-Буда,"набережна Ліверпульський, буд. 678, Черкаси, 73221",+380 48 083 92 29,fbevz@example.net
Лемешко,Василь,Станіславович,male,1981-08-17,Офіс-менеджер,селище Василівка ,"сквер Віри Інбер, буд. 8, Заставна, 40896",+380 21 468 41 52,tsushkovarvara@example.com
Макогон,Гліб,Зеновійович,male,1961-01-16,Аналітик даних,місто Бар,"набережна Травневий 5-й, буд. 2, Мелітополь, 21686",951 75 99,hukleon@example.net
Воблий,Охрім,Сергійович,male,1996-03-28,PR-менеджер,селище Богуслав,"провулок Аеропортівський 2-й, буд. 862 кв. 98, Андрушівка, 43904",076 835 46 80,chohol-ianovskyi@example.net
Якименко,Надія,Євгенівна,female,2007-01-05,Тестувальник,хутір Ланівці,"парк Гранатна, буд. 3, Таврійськ, 88599",863 55 59,habelkoviktoriia@example.com
Затула,Богуслава,Іванівна,female,1939-05-15,Аудитор,хутір Березне,"вулиця Михайла Божія, буд. 3, Волочиськ, 77785",987-25-70,havrylyshynmariana@example.com
Арсенич,Оксенія,Павлівна,female,2005-08-20,Системний адміністратор,місто Судова Вишня,"провулок Мічуріна, буд. 311, Сокаль, 40323",+380 24 376 22 05,lukiankhorishko@example.com
Рубан,Симон,Сергійович,male,1997-05-05,Копірайтер,село Перевальськ,"узвіз Дальницька, буд. 58 кв. 79, Бурштин , 86780",+380 80 230-62-65,hannachekaliuk@example.net
Байрак,Назар,Ігорович,male,2003-05-26,Кадровий менеджер,місто Південне ,"провулок Килимовий, буд. 01 кв. 9, Жовті Води, 62445",+380 90 456-26-10,emiliia45@example.org
Байдак,Гліб,Петрович,male,1971-01-08,Інженер з якості,місто Овруч,"вулиця Заводська 2-га, буд. 47 кв. 63, Миколаїв, 45902",+380 62 415-24-78,andriiovychvasyl@example.org
Копитко,Владислав,Леонідович,male,1983-07-24,Програміст,хутір Новояворівськ,"провулок Гімназична, буд. 4 кв. 820, Нововолинськ, 03897",110 94 58,hohololha@example.com
Колесниченко,Любов,Володимирівна,female,1970-07-08,Кадровий менеджер,хутір Червоносів,"узвіз Кипарисний 3-й, буд. 766 кв. 0, Херсон, 71987",+380 82 252-76-28,rostyslav10@example.com
Шеремет,Варфоломій,Станіславович,male,1971-03-19,Менеджер з продажу,хутір Костянтинівка,"вулиця Кишинівська, буд. 47 кв. 446, Старобільськ, 02726",037 195 26 45,oksana75@example.net
Примаченко,Пантелеймон,Олександрович,male,2008-03-25,Менеджер з продукту,хутір Курахове,"площа Берегова, буд. 10, Оріхів, 45169",377 34 49,alekseienkoboleslav@example.com
Пʼятаченко,Ада,Геннадіївна,female,2000-07-31,PR-менеджер,хутір Кіцмань,"провулок Сирітський 2-й, буд. 58, Вознесенськ, 15184",081 260-14-59,bohuslavaonufriienko@example.com
